Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date
300099,202378,Current,8615,1419.0,24154,Recurring Deposit,2023-08-06
300100,203351,Savings,69990,1245.40705019437,14369,Recurring Deposit,2022-06-15
300101,200884,Current,22527,2603.0,7744,Mutual Fund,2023-03-11
300102,206585,Savings,78341,3102.0,33839,Recurring Deposit,2022-05-09
300103,209950,Business,62479,1262.0,23149,Fixed Deposit,2023-07-24
300104,209649,Savings,77880,2023.0,11839,Recurring Deposit,2023-12-04
300105,206343,Savings,97150,1888.0,32443,Fixed Deposit,2023-05-10
300106,200550,Current,37640,4869.0,6378,Fixed Deposit,2022-07-01
300107,208391,Business,57068,544.0,43856,Recurring Deposit,2023-02-11
300108,209582,Business,77018,2580.0,13089,Recurring Deposit,2024-08-18
300109,203742,Current,16002,4240.0,10238,Fixed Deposit,2023-07-22
300110,201443,Current,76069,3992.0,37536,Recurring Deposit,2023-02-14
300111,204774,Business,2758,2094.0,11322,Fixed Deposit,2025-01-02
300112,208468,Savings,35712,2850.0,2664,Fixed Deposit,2024-05-04
300113,200053,Business,88489,4528.0,25322,Recurring Deposit,2023-11-25
300114,200163,Business,18939,1456.0,42750,Fixed Deposit,2024-12-13
300115,206798,Business,62558,4163.0,15336,Fixed Deposit,2024-03-02
300116,202789,Current,49938,4394.0,44374,Fixed Deposit,2022-10-28
300117,204517,Current,68138,5131.409920894748,25219,Mutual Fund,2023-05-06
300118,209445,Savings,19937,610.0,8151,Recurring Deposit,2022-10-23
300119,209521,Savings,9767,4323.0,44076,Recurring Deposit,2023-04-08
300120,209177,Business,67405,1165.0,1594,Mutual Fund,2024-08-09
300121,205359,Current,35093,2660.0,6004,Fixed Deposit,2024-07-05
300122,205652,Business,23971,2731.0,33733,Mutual Fund,2023-05-03
300123,201080,Current,52943,3698.0,16128,Fixed Deposit,2024-09-14
300124,208850,Business,43169,2984.0,28130,Recurring Deposit,2024-01-15
300125,205148,Savings,5247,2553.0,35029,Recurring Deposit,2024-09-12
300126,202265,Business,72586,3575.0,38148,Recurring Deposit,2023-12-01
300127,204641,Current,86526,605.0,23902,Fixed Deposit,2023-10-04
300128,200848,Current,93679,3984.0,36200,Mutual Fund,2023-02-24
300129,208657,Business,71869,3260.0,44969,Mutual Fund,2022-10-21
300130,204661,Savings,86647,3763.0,32727,Mutual Fund,2024-05-20
300131,207711,Business,91053,3774.0,16137,Fixed Deposit,2024-04-25
300132,204599,Business,6606,674.0,6690,Recurring Deposit,2022-08-09
300133,205661,Current,76708,4079.0,14536,Recurring Deposit,2022-06-02
300134,209566,Current,16347,4411.0,10417,Recurring Deposit,2022-09-07
300135,206111,Savings,21222,2637.0,38073,Recurring Deposit,2022-11-13
300136,205515,Business,76070,3012.0,16381,Mutual Fund,2024-11-19
300137,209998,Savings,43649,3982.0,16028,Recurring Deposit,2022-11-24
300138,208610,Business,92016,1833.0,33244,Recurring Deposit,2025-02-10
300139,201459,Savings,45434,4885.0,41478,Recurring Deposit,2024-01-05
300140,204532,Business,76590,689.0,38185,Recurring Deposit,2024-10-02
300141,206029,Savings,78592,4076.0,15550,Fixed Deposit,2022-06-27
300142,206289,Business,17919,2965.0,39146,Fixed Deposit,2023-11-08
300143,202213,Current,16398,3267.0,4757,Mutual Fund,2023-11-03
300144,200597,Business,99990,2592.0,28000,Recurring Deposit,2024-10-01
300145,209381,Business,21156,4226.0,33599,Fixed Deposit,2024-03-17
300146,205528,Current,40524,4756.0,26816,Mutual Fund,2024-06-19
300147,208637,Business,9929,782.0,20624,Fixed Deposit,2023-04-15
300148,204749,Savings,18171,2448.0,29221,Mutual Fund,2024-07-27
300149,200046,Business,18156,2359.0,14701,Mutual Fund,2022-04-07
300150,209704,Savings,91347,1325.0,14764,Recurring Deposit,2025-02-09
300151,207890,Current,48523,4841.0,22937,Mutual Fund,2022-09-14
300152,201286,Savings,74082,1340.0,23950,Recurring Deposit,2025-02-12
300153,202701,Current,82597,3989.0,9143,Recurring Deposit,2024-07-02
300154,200942,Savings,99993,553.0,1938,Recurring Deposit,2023-05-09
300155,202290,Current,8955,2783.0,34108,Mutual Fund,2024-12-10
300156,200903,Business,64612,1268.0,38242,Mutual Fund,2023-08-31
300157,205452,Savings,22972,4538.0,11023,Mutual Fund,2022-09-10
300158,202659,Current,6267,803.0,8556,Recurring Deposit,2023-06-19
300159,201131,Business,91885,2758.0,30920,Mutual Fund,2024-01-25
300160,202368,Business,96916,731.0,16938,Fixed Deposit,2022-11-21
300161,206948,Current,48385,2048.0,46372,Recurring Deposit,2024-02-23
300162,203544,Current,25726,3434.0,5608,Fixed Deposit,2022-03-26
300163,208658,Savings,63852,482.0,17190,Mutual Fund,2023-05-04
300164,204057,Current,30592,580.758814260561,7473,Fixed Deposit,2024-05-06
300165,204850,Business,95211,2537.0,45303,Fixed Deposit,2022-12-23
300166,204034,Current,60226,2119.0,11219,Fixed Deposit,2024-05-17
300167,201135,Savings,62321,2830.0,5123,Recurring Deposit,2022-09-02
300168,209670,Savings,53385,1054.0,39746,Mutual Fund,2024-11-16
300169,204383,Savings,59970,1996.0,39453,Recurring Deposit,2023-06-27
300170,205572,Savings,27041,3360.0,7774,Mutual Fund,2024-12-07
300171,208532,Savings,70747,1269.0,5490,Recurring Deposit,2024-05-17
300172,200659,Savings,6986,2289.0,14012,Fixed Deposit,2024-10-22
300173,200185,Current,28635,2040.0,9484,Fixed Deposit,2023-01-23
300174,202076,Savings,44194,3082.0,32141,Recurring Deposit,2022-11-13
300175,201431,Current,88419,4101.0,43232,Fixed Deposit,2023-10-22
300176,200746,Current,87048,1282.0,45449,Fixed Deposit,2022-11-26
300177,203834,Business,24356,180.0,41597,Mutual Fund,2024-07-05
300178,208724,Current,6084,1258.0,1969,Mutual Fund,2024-06-21
300179,207056,Current,11096,1194.0,43934,Recurring Deposit,2022-03-21
300180,207259,Current,57100,3812.0,45675,Mutual Fund,2024-10-06
300181,202975,Savings,68596,2489.0,35436,Recurring Deposit,2023-08-06
300182,206315,Current,64388,3258.0,29118,Recurring Deposit,2024-04-18
300183,204209,Business,8463,191.0,19686,Mutual Fund,2022-04-20
300184,209313,Current,20709,290.0,4279,Recurring Deposit,2022-09-10
300185,207422,Savings,19445,1355.0,18591,Fixed Deposit,2023-10-05
300186,203093,Current,94447,3729.0,9594,Fixed Deposit,2023-07-11
300187,209336,Savings,25735,4764.0,34806,Fixed Deposit,2023-03-27
300188,208402,Savings,18290,2478.289035114589,19738,Recurring Deposit,2022-06-18
300189,203773,Savings,85706,3885.0,6272,Mutual Fund,2023-03-30
300190,202863,Current,33068,1104.0,46259,Recurring Deposit,2024-08-18
300191,207815,Current,47769,563.0,26568,Fixed Deposit,2022-07-21
300192,202433,Current,60044,1648.0,45393,Fixed Deposit,2022-08-01
300193,207451,Business,98324,1618.0,16431,Fixed Deposit,2024-04-13
300194,201923,Business,81324,1729.0,25244,Mutual Fund,2022-07-06
300195,200640,Savings,32553,3133.0,29738,Fixed Deposit,2024-06-25
300196,209806,Business,28289,1265.0,4243,Recurring Deposit,2022-10-02
300197,201484,Current,5428,4488.0,1805,Fixed Deposit,2022-10-06
300198,205854,Current,32611,447.93157897385976,30372,Mutual Fund,2025-01-08
300199,203792,Current,68109,549.0,30252,Recurring Deposit,2024-03-28
300200,201925,Business,77784,805.0,21582,Fixed Deposit,2024-07-22
300201,201331,Savings,76879,4868.0,9942,Mutual Fund,2022-12-02
300202,205452,Business,37018,3045.0,12295,Mutual Fund,2023-05-06
300203,206333,Savings,95606,3141.0,21219,Fixed Deposit,2024-06-17
300204,207157,Current,22088,3427.0,37378,Mutual Fund,2024-10-18
300205,202140,Savings,3077,1630.0,2492,Fixed Deposit,2024-01-07
300206,207575,Business,47239,2320.0,8457,Recurring Deposit,2023-02-13
300207,201643,Business,71065,3351.0,39209,Recurring Deposit,2024-07-05
300208,206859,Business,83950,3001.0,14428,Mutual Fund,2025-02-24
300209,205097,Current,19214,4834.0,26396,Recurring Deposit,2023-01-27
300210,205902,Current,72100,3858.0,44678,Fixed Deposit,2023-07-18
300211,208190,Business,50935,4842.0,21279,Recurring Deposit,2023-11-30
300212,203710,Current,91826,1264.0,26161,Recurring Deposit,2025-01-27
300213,209987,Business,71564,4054.0,30080,Fixed Deposit,2024-12-24
300214,209869,Savings,24860,2815.0,36541,Fixed Deposit,2023-10-22
300215,202752,Savings,9781,4624.0,49690,Mutual Fund,2024-01-30
300216,209595,Current,85630,3867.0,26524,Fixed Deposit,2024-06-02
300217,206193,Current,22881,3647.0,25400,Fixed Deposit,2024-02-20
300218,208430,Current,74914,4706.0,4541,Recurring Deposit,2022-09-24
300219,207402,Current,10243,4070.0,24506,Fixed Deposit,2023-04-10
300220,200318,Savings,50641,377.0,35492,Fixed Deposit,2023-03-05
300221,208753,Business,44972,4705.0,15242,Recurring Deposit,2022-06-28
300222,205212,Business,76095,3384.0,37075,Mutual Fund,2023-08-28
300223,203413,Current,71322,4680.0,1594,Fixed Deposit,2022-04-22
300224,206385,Business,84665,4475.0,45826,Recurring Deposit,2024-09-19
300225,202659,Current,66017,3993.0,13426,Mutual Fund,2024-07-28
300226,201507,Business,28843,1012.0,40145,Mutual Fund,2023-03-13
300227,207089,Current,95422,3869.0,22019,Mutual Fund,2024-09-20
300228,204961,Current,74416,3504.0,46858,Mutual Fund,2023-02-26
300229,202020,Business,7258,290.0,49401,Recurring Deposit,2022-04-01
300230,200154,Current,5898,1487.0,25708,Mutual Fund,2022-07-09
300231,208733,Business,92274,1494.0,49517,Recurring Deposit,2024-11-25
300232,207378,Savings,47608,3595.0,33597,Mutual Fund,2022-06-20
300233,207892,Current,26169,3246.0,32389,Recurring Deposit,2023-03-11
300234,201604,Current,36353,2695.2413084457903,44345,Mutual Fund,2022-07-03
300235,209876,Savings,91621,447.0,43476,Recurring Deposit,2022-05-08
300236,202536,Current,20952,3801.0,47912,Fixed Deposit,2023-08-16
300237,209471,Savings,70145,4658.0,2385,Fixed Deposit,2022-07-09
300238,202899,Business,66848,1893.7966336151444,16535,Recurring Deposit,2024-05-27
300239,205861,Savings,53343,939.0,46679,Mutual Fund,2023-03-25
300240,205278,Business,78021,4905.0,25144,Fixed Deposit,2023-05-27
300241,200868,Savings,86582,3139.0,32943,Fixed Deposit,2025-01-23
300242,203013,Savings,99286,534.0,9465,Recurring Deposit,2024-04-13
300243,203310,Savings,8208,1087.0,49288,Recurring Deposit,2023-02-16
300244,200682,Current,47747,2013.0,47685,Recurring Deposit,2024-07-05
300245,201461,Current,23516,3425.0,38384,Recurring Deposit,2022-10-12
300246,203829,Current,96634,3108.0,19099,Recurring Deposit,2024-08-24
300247,200145,Current,60392,385.0,4082,Fixed Deposit,2024-09-01
300248,201974,Business,29705,4139.0,20907,Recurring Deposit,2024-03-24
300249,205627,Savings,14157,1675.0,25065,Mutual Fund,2023-04-02
300250,201820,Business,65855,728.0,28418,Recurring Deposit,2024-03-24
300251,206267,Savings,93584,3697.0,8569,Mutual Fund,2023-12-13
300252,207868,Savings,90943,4751.0,3404,Fixed Deposit,2023-01-10
300253,206962,Business,47846,4927.0,11913,Fixed Deposit,2022-08-14
300254,206475,Savings,18993,4869.0,17821,Recurring Deposit,2022-08-18
300255,208796,Current,38379,266.0,42994,Fixed Deposit,2025-01-07
300256,206332,Current,14332,2791.0,40158,Fixed Deposit,2024-01-19
300257,201606,Business,14119,1534.0,2473,Mutual Fund,2023-09-22
300258,204239,Business,97409,4493.0,46342,Fixed Deposit,2024-01-08
300259,201547,Business,16205,3310.0,42899,Recurring Deposit,2023-12-19
300260,206973,Current,44251,3033.0,29727,Fixed Deposit,2024-03-15
300261,202772,Savings,72630,3477.0,1344,Fixed Deposit,2022-06-13
300262,201987,Business,96127,664.0,8401,Mutual Fund,2025-01-30
300263,209577,Savings,76273,2308.935808365653,1146,Mutual Fund,2024-12-30
300264,202896,Savings,59978,1450.0,44295,Recurring Deposit,2024-12-18
300265,206975,Business,16824,689.0,30091,Fixed Deposit,2022-08-20
300266,208174,Business,9223,3040.0,22062,Fixed Deposit,2022-06-23
300267,209137,Current,3632,2992.0,37493,Mutual Fund,2023-12-06
300268,209497,Business,52614,553.0,32404,Fixed Deposit,2023-08-30
300269,206582,Current,7376,3806.0,25832,Mutual Fund,2022-09-06
300270,208350,Current,24042,3692.0,12443,Recurring Deposit,2023-04-11
300271,206013,Savings,33871,2337.0,24713,Mutual Fund,2023-01-12
300272,201350,Current,7178,1094.0,41847,Recurring Deposit,2023-01-10
300273,207684,Savings,99930,982.0,4934,Fixed Deposit,2024-07-01
300274,207057,Current,40221,659.0,45673,Fixed Deposit,2024-02-15
300275,209846,Business,97972,4541.0,19621,Mutual Fund,2022-10-24
300276,207985,Savings,61245,679.0,30515,Recurring Deposit,2024-01-05
300277,205875,Business,49239,959.0,48502,Mutual Fund,2022-12-31
300278,207280,Savings,27009,1534.0,49591,Fixed Deposit,2023-05-27
300279,203030,Current,95802,3030.0,32503,Mutual Fund,2024-03-08
300280,200675,Savings,53445,2474.0,8067,Fixed Deposit,2023-04-13
300281,200368,Business,74057,1436.0,12909,Mutual Fund,2022-07-16
300282,206770,Savings,13955,4549.0,7938,Recurring Deposit,2024-02-07
300283,209395,Business,82660,1114.0,10936,Recurring Deposit,2024-07-22
300284,203360,Savings,41673,795.0,45938,Recurring Deposit,2022-08-20
300285,201471,Current,56535,4717.0,30324,Mutual Fund,2022-06-07
300286,205351,Savings,70232,3115.0,42548,Fixed Deposit,2024-12-28
300287,201348,Business,83298,4451.0,38191,Mutual Fund,2024-07-07
300288,203016,Current,86135,3850.0,41984,Fixed Deposit,2022-04-12
300289,200669,Savings,95127,3914.0,25187,Recurring Deposit,2022-08-12
300290,205727,Current,87258,4980.0,15890,Recurring Deposit,2023-03-23
300291,201254,Business,44487,4277.0,16659,Mutual Fund,2022-12-04
300292,202008,Current,70456,1349.0,3003,Fixed Deposit,2023-12-12
300293,200826,Business,18099,1094.0,40379,Fixed Deposit,2024-04-13
300294,202311,Savings,14323,1446.0,17681,Fixed Deposit,2024-04-06
300295,208641,Business,4641,943.0,30594,Mutual Fund,2023-02-16
300296,208740,Business,24334,775.0,20087,Fixed Deposit,2023-12-03
300297,201634,Business,22253,262.0,7519,Mutual Fund,2022-06-20
300298,207908,Business,94191,4313.0,43511,Recurring Deposit,2022-12-01
300299,203669,Savings,58413,2771.0,32789,Recurring Deposit,2023-10-30
300300,209830,Business,26949,958.0,16875,Recurring Deposit,2022-03-24
300301,204719,Business,72740,511.0,4586,Recurring Deposit,2023-11-17
300302,204448,Savings,86245,1949.0,5445,Mutual Fund,2023-05-06
300303,201007,Business,68922,2614.0,29946,Mutual Fund,2024-02-25
300304,201010,Savings,73541,670.0,28932,Mutual Fund,2023-06-07
300305,207664,Savings,23488,3208.0,19933,Recurring Deposit,2024-01-07
300306,202800,Business,36119,3275.0,44888,Recurring Deposit,2025-03-07
300307,208501,Current,43861,3919.0,6355,Fixed Deposit,2024-07-31
300308,207727,Savings,36434,3721.0,47656,Mutual Fund,2025-01-12
300309,207528,Savings,39263,1093.0,5372,Fixed Deposit,2024-04-15
300310,208347,Current,72963,2816.8814138384146,30408,Recurring Deposit,2022-11-16
300311,209828,Current,77833,1267.0,17906,Fixed Deposit,2023-01-09
300312,205057,Business,16672,922.0,17994,Recurring Deposit,2023-06-24
300313,204461,Current,78378,4445.0,47499,Fixed Deposit,2023-02-22
300314,203152,Savings,50433,487.0,5134,Mutual Fund,2022-06-19
300315,207807,Current,44710,2898.0,26137,Recurring Deposit,2024-09-05
300316,207838,Savings,42621,3466.0,20227,Mutual Fund,2024-07-10
300317,203130,Business,75207,146.0,3067,Mutual Fund,2022-06-23
300318,209452,Current,7762,703.0,35470,Fixed Deposit,2023-07-21
300319,204567,Current,42508,3860.0,30162,Recurring Deposit,2022-06-17
300320,205534,Business,75370,1161.0,14720,Fixed Deposit,2022-06-06
300321,204469,Business,59331,1185.0,35686,Mutual Fund,2024-09-13
300322,203380,Current,97089,4768.0,15076,Recurring Deposit,2024-03-30
300323,201630,Current,17329,580.0,32917,Fixed Deposit,2024-05-10
300324,209337,Current,90151,1131.0,19119,Mutual Fund,2024-06-23
300325,206776,Current,50515,3977.0,17159,Mutual Fund,2022-11-20
300326,200035,Savings,4687,1229.0,25510,Fixed Deposit,2022-06-17
300327,200724,Current,56702,4487.0,3927,Mutual Fund,2024-05-17
300328,209668,Savings,81838,2104.0,40793,Mutual Fund,2022-07-23
300329,202506,Business,54217,2715.0,22803,Fixed Deposit,2023-01-03
300330,203297,Savings,82749,3728.0,20368,Fixed Deposit,2022-07-05
300331,200890,Business,80411,631.0,7739,Mutual Fund,2024-09-30
300332,201400,Current,80114,4130.0,43232,Fixed Deposit,2022-07-04
300333,207919,Business,52464,1998.0,24560,Mutual Fund,2025-02-01
300334,209218,Business,98156,303.0,42332,Recurring Deposit,2023-03-21
300335,204101,Savings,92461,1836.0,17844,Mutual Fund,2023-12-08
300336,207571,Business,96814,434.0,2061,Fixed Deposit,2022-09-23
300337,202660,Current,48054,3173.0,3171,Fixed Deposit,2024-08-21
300338,205958,Current,67126,1335.0,4933,Mutual Fund,2023-04-07
300339,203749,Business,47901,4081.0,21004,Mutual Fund,2024-09-05
300340,208867,Business,96624,4338.0,35089,Mutual Fund,2024-09-29
300341,208709,Current,56110,2240.0,28798,Recurring Deposit,2022-05-21
300342,204479,Current,90067,4317.0,6194,Fixed Deposit,2024-11-07
300343,207105,Current,26259,824.0,13278,Recurring Deposit,2022-07-26
300344,206633,Savings,63156,493.0,6775,Fixed Deposit,2024-01-01
300345,206694,Savings,77437,1563.0,47555,Recurring Deposit,2025-01-05
300346,205394,Current,24349,2072.0,9060,Mutual Fund,2024-09-12
300347,204703,Current,17317,2397.0,37465,Recurring Deposit,2024-08-15
300348,208353,Savings,40345,2973.0,43087,Mutual Fund,2024-06-10
300349,200600,Current,35922,3401.0,12418,Fixed Deposit,2023-07-25
300350,209751,Current,19457,4664.0,47537,Mutual Fund,2023-04-30
300351,208856,Savings,64669,1990.0,20245,Fixed Deposit,2023-02-01
300352,204957,Savings,70544,4687.0,23035,Fixed Deposit,2025-01-24
300353,206173,Savings,3686,4660.0,43330,Mutual Fund,2023-07-22
300354,204576,Current,56673,1885.0,26429,Fixed Deposit,2023-03-26
300355,204316,Current,25199,2255.0,16788,Fixed Deposit,2023-05-07
300356,207733,Current,24575,1185.0,19719,Fixed Deposit,2023-11-25
300357,206263,Current,16335,2204.0,8455,Recurring Deposit,2022-10-10
300358,209964,Savings,9460,1058.0,40542,Recurring Deposit,2025-01-27
300359,206012,Business,68914,2279.0,21656,Fixed Deposit,2024-12-17
300360,207940,Current,57549,1201.0,45005,Recurring Deposit,2023-06-30
300361,206657,Current,46164,4062.0,28687,Recurring Deposit,2024-02-29
300362,201390,Current,53411,1095.0,15340,Mutual Fund,2023-07-25
300363,207247,Savings,71797,1285.0,4175,Mutual Fund,2022-07-11
300364,207526,Business,86037,1931.0,49629,Fixed Deposit,2022-04-04
300365,204286,Current,58586,626.0,26352,Mutual Fund,2024-03-01
300366,209909,Savings,39638,2966.0,30126,Fixed Deposit,2024-11-09
300367,201957,Current,97396,1143.0,11897,Fixed Deposit,2024-08-11
300368,209851,Current,71807,1784.0,35733,Mutual Fund,2022-08-23
300369,203088,Current,28023,1339.0,29391,Mutual Fund,2022-07-12
300370,205189,Business,87556,2157.0,28648,Mutual Fund,2024-07-03
300371,201827,Savings,3066,199.0,14552,Fixed Deposit,2023-02-15
300372,209308,Business,65080,1516.0,37217,Fixed Deposit,2024-05-14
300373,202005,Savings,29603,2873.0,4789,Recurring Deposit,2023-05-06
300374,201161,Savings,56229,2061.0,1727,Fixed Deposit,2022-10-12
300375,206590,Current,70086,200.0,3553,Mutual Fund,2023-09-14
300376,200167,Current,53399,3175.0,2744,Fixed Deposit,2022-07-05
300377,208480,Business,74948,4346.0,20024,Mutual Fund,2023-04-04
300378,201037,Savings,48391,2189.0,23763,Mutual Fund,2023-10-16
300379,206198,Business,25144,4153.0,14844,Fixed Deposit,2023-06-06
300380,204823,Current,99886,1061.0,37207,Mutual Fund,2022-11-21
300381,207528,Business,90829,3800.0,32522,Fixed Deposit,2024-01-30
300382,203973,Current,21804,3063.0,34977,Mutual Fund,2024-07-11
300383,209376,Business,44959,4045.0,39777,Fixed Deposit,2025-03-17
300384,209674,Business,24162,3707.0,35529,Recurring Deposit,2023-07-03
300385,200199,Business,51592,3407.0,23732,Fixed Deposit,2024-10-26
